time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ma_acc_x,ma_acc_y,ma_acc_z,ma_gyro_x,ma_gyro_y,ma_gyro_z
1686018362.969122,-0.0,0.0,1.0,-0.05,-0.08,0.0,0.0,0.0,1.0,-0.030000000000000002,-0.057499999999999996,-0.010000000000000002
1686018362.992071,-0.01,0.0,1.0,-0.06,-0.18,-0.03,-0.0014285714285714286,0.0,1.0,-0.036,-0.08199999999999999,-0.014000000000000002
1686018363.029018,0.0,0.0,1.01,0.06,-0.14,-0.05,-0.0011111111111111111,0.0011111111111111111,1.001111111111111,-0.02,-0.09166666666666667,-0.02
1686018363.0519085,-0.0,-0.0,1.0,-0.05,0.08,-0.02,-0.001,0.001,1.001,-0.024285714285714282,-0.06714285714285714,-0.02
1686018363.3592188,-0.0,0.0,1.01,0.03,-0.03,-0.02,-0.001,0.0,1.0,0.004999999999999999,-0.01,-0.009999999999999998
1686018363.382082,-0.0,-0.0,1.0,0.02,0.05,-0.03,-0.001,0.0,1.0,0.009999999999999998,0.0009999999999999996,-0.013000000000000001
1686018363.5490923,-0.0,-0.0,1.0,0.02,0.06,0.02,-0.002,0.001,1.002,-0.004000000000000001,0.014000000000000002,-0.021999999999999995
1686018363.572022,-0.0,0.0,1.0,-0.08,0.02,-0.03,-0.002,0.001,1.001,-0.012,0.020999999999999998,-0.019
1686018363.6891286,-0.0,0.0,1.0,-0.05,0.08,-0.02,-0.002,0.0,0.998,-0.017,0.040999999999999995,-0.009000000000000001
1686018363.712065,0.0,0.0,1.0,0.05,0.03,-0.09,-0.001,0.0,0.998,-0.007000000000000001,0.036,-0.013000000000000001
1686018363.749195,-0.0,-0.0,1.0,0.0,0.05,0.02,0.0,0.0,0.998,-0.010000000000000002,0.040999999999999995,-0.001999999999999999
1686018363.7721038,0.0,-0.0,1.0,0.0,-0.08,0.02,0.0,0.0,0.998,-0.008,0.028000000000000004,-0.001999999999999999
1686018363.7981162,0.0,-0.0,1.0,0.03,0.0,0.06,0.0,0.0,0.998,-0.005,0.028000000000000004,-0.0009999999999999996
1686018363.8210418,0.0,-0.0,1.0,-0.08,-0.03,-0.08,0.0,0.0,0.998,-0.015000000000000003,0.018999999999999996,-0.011
1686018363.9491782,-0.0,-0.01,1.0,-0.09,-0.05,-0.12,-0.001,-0.001,0.999,-0.006,-0.006,-0.032
1686018363.9721506,-0.0,-0.0,1.0,0.05,0.03,-0.06,-0.001,-0.001,0.999,0.004000000000000001,-0.011000000000000001,-0.036
1686018364.0092373,-0.01,0.0,1.0,0.05,0.02,-0.08,-0.002,-0.001,0.999,0.004000000000000001,-0.011999999999999999,-0.035
1686018364.0321553,0.0,0.0,1.0,0.02,0.0,-0.08,-0.002,-0.001,0.999,0.006000000000000001,-0.017000000000000005,-0.045
1686018364.069234,-0.0,-0.0,1.0,-0.05,0.03,-0.03,-0.002,-0.001,1.0,0.0010000000000000009,-0.006000000000000001,-0.05
1686018364.0921428,0.0,0.0,1.0,-0.08,0.02,-0.06,-0.002,-0.001,1.0,-0.009999999999999998,-0.004000000000000001,-0.06200000000000001
1686018364.1292682,-0.0,-0.0,1.0,0.0,-0.03,-0.02,-0.001,-0.001,1.002,-0.001999999999999999,-0.003999999999999999,-0.05600000000000001
1686018364.1521173,-0.01,-0.0,1.0,0.02,0.0,-0.05,-0.002,0.0,1.002,-0.0029999999999999988,-0.0010000000000000002,-0.05500000000000001
1686018364.249235,-0.0,0.0,0.99,0.0,0.05,0.05,-0.002,0.0,1.0,-0.004999999999999999,0.011000000000000001,-0.031
1686018364.272119,0.01,0.0,1.0,-0.06,-0.14,-0.03,-0.001,0.0,1.0,-0.015999999999999997,-0.006,-0.028000000000000004
1686018364.4490805,-0.01,0.0,1.0,0.03,-0.09,-0.03,0.0,0.002,0.998,-0.016999999999999998,0.001999999999999999,0.0
1686018364.4720538,-0.01,0.0,1.0,-0.11,-0.08,-0.03,-0.001,0.002,0.999,-0.027999999999999997,-0.008000000000000002,-0.005
1686018364.509124,-0.0,-0.0,1.0,-0.11,0.03,-0.02,-0.002,0.002,0.999,-0.03899999999999999,-0.01,-0.012
1686018364.532099,0.0,0.0,1.0,-0.08,-0.02,-0.03,-0.002,0.002,0.999,-0.040999999999999995,0.001999999999999999,-0.012
1686018364.5690656,0.0,-0.0,1.0,-0.05,0.0,-0.05,-0.003,0.001,0.999,-0.052000000000000005,0.003999999999999998,-0.017
1686018364.5920606,-0.0,-0.0,1.0,-0.08,-0.06,-0.08,-0.003,0.0,0.999,-0.051000000000000004,-0.01,-0.025
1686018364.6290746,-0.0,-0.0,1.0,-0.03,0.06,0.06,-0.003,0.0,1.0,-0.059,-0.013000000000000001,-0.022000000000000002
1686018364.6521015,-0.0,-0.01,1.0,0.03,0.02,-0.02,-0.002,-0.001,1.0,-0.05,-0.017,-0.022
1686018364.9491212,-0.0,-0.0,1.0,-0.11,0.24,-0.02,-0.001,0.0,1.001,-0.009,-0.101,0.001999999999999999
1686018364.9720867,-0.0,-0.0,1.0,-0.02,-0.15,0.02,0.0,0.0,1.001,-0.0019999999999999974,-0.11599999999999999,0.006
1686018365.0089984,-0.0,0.0,1.0,-0.08,0.0,-0.03,0.0,0.001,1.0,-0.007999999999999995,-0.11599999999999999,0.008
1686018365.0319073,0.0,-0.0,1.0,0.05,-0.21,0.02,0.0,0.001,1.0,0.0020000000000000044,-0.12799999999999997,0.01
1686018366.9003038,-0.01,0.01,0.97,2.9,-13.02,-2.9,-0.038000000000000006,0.016000000000000004,1.069,-4.430000000000001,-63.28699999999999,-0.6700000000000002
1686018367.860147,-0.02,-0.01,1.0,0.0,-0.11,-0.17,-0.019999999999999997,-0.005,1.0,0.025,-0.277,-0.126
1686018367.883118,-0.01,-0.0,1.0,0.3,-1.91,-0.27,-0.019,-0.004,1.0,0.049,-0.43899999999999995,-0.13599999999999998
1686018368.2103324,-0.05,-0.01,1.03,0.38,-5.88,-0.95,-0.023000000000000003,-0.006,1.003,0.06399999999999999,-0.671,-0.25
1686018368.2332385,-0.1,-0.04,1.0,2.05,-18.03,-10.38,-0.031000000000000007,-0.01,1.003,0.26399999999999996,-2.429,-1.237
1686018368.4203656,0.03,-0.06,1.03,-44.3,-17.25,-10.62,0.0,-0.024,1.032,-17.093,-11.728000000000002,-7.736
1686018368.5603182,-2.0,-0.41,0.8,84.78,-189.1,-41.25,-0.156,-0.13699999999999998,0.9880000000000002,-25.651,-44.068,-9.803999999999998
